tf.Tensor(420.9612412763745, shape=(), dtype=float64)
tf.Tensor(511.2053020215011, shape=(), dtype=float64)
tf.Tensor(637.1164070135244, shape=(), dtype=float64)
tf.Tensor(539.4359748390991, shape=(), dtype=float64)
tf.Tensor(986.6288227955454, shape=(), dtype=float64)
tf.Tensor(395.535508333092, shape=(), dtype=float64)
tf.Tensor(261.96100907668006, shape=(), dtype=float64)
tf.Tensor(882.3976196473159, shape=(), dtype=float64)
tf.Tensor(398.6790204228353, shape=(), dtype=float64)
tf.Tensor(782.0201275263611, shape=(), dtype=float64)
tf.Tensor(251.223064494732, shape=(), dtype=float64)
tf.Tensor(367.23365374187455, shape=(), dtype=float64)
tf.Tensor(371.1525709723734, shape=(), dtype=float64)
tf.Tensor(466.5161596869657, shape=(), dtype=float64)
tf.Tensor(387.48882774289666, shape=(), dtype=float64)
tf.Tensor(909.9987374066689, shape=(), dtype=float64)
tf.Tensor(850.3987054930446, shape=(), dtype=float64)
tf.Tensor(570.0450447368363, shape=(), dtype=float64)
tf.Tensor(509.9252331598633, shape=(), dtype=float64)
tf.Tensor(362.8252739876116, shape=(), dtype=float64)
tf.Tensor(634.9749121335605, shape=(), dtype=float64)
tf.Tensor(364.2089738338829, shape=(), dtype=float64)
tf.Tensor(623.9458396609364, shape=(), dtype=float64)
tf.Tensor(606.370199251618, shape=(), dtype=float64)
tf.Tensor(813.748076013619, shape=(), dtype=float64)
tf.Tensor(237.67552481045715, shape=(), dtype=float64)
tf.Tensor(872.681561687524, shape=(), dtype=float64)
tf.Tensor(1033.9906138814622, shape=(), dtype=float64)
tf.Tensor(452.9179650956236, shape=(), dtype=float64)
tf.Tensor(426.11057701124446, shape=(), dtype=float64)
tf.Tensor(615.35536490823, shape=(), dtype=float64)
tf.Tensor(930.6867929819127, shape=(), dtype=float64)
tf.Tensor(775.4169478321113, shape=(), dtype=float64)
tf.Tensor(559.1911205554919, shape=(), dtype=float64)
tf.Tensor(1067.8244768430984, shape=(), dtype=float64)
tf.Tensor(567.8003838093194, shape=(), dtype=float64)
tf.Tensor(293.62714777216604, shape=(), dtype=float64)
tf.Tensor(814.748477710133, shape=(), dtype=float64)
tf.Tensor(995.7472942301501, shape=(), dtype=float64)
tf.Tensor(800.9699202989271, shape=(), dtype=float64)
